id	landmark_id	tag_id	created_at	updated_at
38	12	31	2013-02-02 17:59:00	2013-02-02 17:59:00
39	12	32	2013-02-02 17:59:00	2013-02-02 17:59:00
40	13	33	2013-02-02 18:11:32	2013-02-02 18:11:32
41	13	34	2013-02-02 18:11:32	2013-02-02 18:11:32
42	13	35	2013-02-02 18:11:32	2013-02-02 18:11:32
43	14	36	2013-02-02 18:16:10	2013-02-02 18:16:10
44	14	20	2013-02-02 18:16:10	2013-02-02 18:16:10
45	15	20	2013-02-02 18:25:47	2013-02-02 18:25:47
46	15	37	2013-02-02 18:25:47	2013-02-02 18:25:47
47	15	38	2013-02-02 18:25:47	2013-02-02 18:25:47
48	15	39	2013-02-02 18:25:47	2013-02-02 18:25:47
49	15	40	2013-02-02 18:25:47	2013-02-02 18:25:47
50	16	41	2013-02-02 18:35:01	2013-02-02 18:35:01
51	16	39	2013-02-02 18:35:01	2013-02-02 18:35:01
52	17	42	2013-02-02 18:39:27	2013-02-02 18:39:27
53	17	20	2013-02-02 18:39:27	2013-02-02 18:39:27
54	17	40	2013-02-02 18:39:27	2013-02-02 18:39:27
55	17	38	2013-02-02 18:39:27	2013-02-02 18:39:27
56	17	43	2013-02-02 18:39:27	2013-02-02 18:39:27
57	18	43	2013-02-02 18:45:00	2013-02-02 18:45:00
58	18	38	2013-02-02 18:45:00	2013-02-02 18:45:00
59	18	44	2013-02-02 18:45:00	2013-02-02 18:45:00
60	18	45	2013-02-02 18:45:00	2013-02-02 18:45:00
61	19	28	2013-02-02 18:50:38	2013-02-02 18:50:38
62	19	39	2013-02-02 18:50:38	2013-02-02 18:50:38
63	19	46	2013-02-02 18:50:38	2013-02-02 18:50:38
64	19	47	2013-02-02 18:50:38	2013-02-02 18:50:38
65	20	47	2013-02-02 18:55:37	2013-02-02 18:55:37
66	20	48	2013-02-02 18:55:37	2013-02-02 18:55:37
67	20	49	2013-02-02 18:55:37	2013-02-02 18:55:37
68	20	50	2013-02-02 18:55:37	2013-02-02 18:55:37
69	21	49	2013-02-02 19:00:53	2013-02-02 19:00:53
70	21	50	2013-02-02 19:00:53	2013-02-02 19:00:53
71	21	51	2013-02-02 19:00:53	2013-02-02 19:00:53
72	21	52	2013-02-02 19:00:53	2013-02-02 19:00:53
73	22	35	2013-02-02 19:07:09	2013-02-02 19:07:09
74	22	49	2013-02-02 19:07:09	2013-02-02 19:07:09
75	23	18	2013-02-02 19:18:34	2013-02-02 19:18:34
76	23	53	2013-02-02 19:18:34	2013-02-02 19:18:34
77	24	54	2013-02-03 23:35:28	2013-02-03 23:35:28
78	25	45	2013-02-04 11:00:38	2013-02-04 11:00:38
79	26	55	2013-02-04 11:29:04	2013-02-04 11:29:04
80	27	56	2013-02-04 12:20:41	2013-02-04 12:20:41
81	28	57	2013-02-05 00:12:21	2013-02-05 00:12:21
82	29	58	2013-02-05 04:44:37	2013-02-05 04:44:37
83	29	59	2013-02-05 04:48:55	2013-02-05 04:48:55
84	30	60	2013-02-05 04:56:36	2013-02-05 04:56:36
85	30	61	2013-02-05 04:56:36	2013-02-05 04:56:36
86	2	58	2013-02-05 04:57:46	2013-02-05 04:57:46
87	31	58	2013-02-05 05:16:07	2013-02-05 05:16:07
88	31	9	2013-02-05 05:16:07	2013-02-05 05:16:07
89	31	6	2013-02-05 05:16:07	2013-02-05 05:16:07
90	31	62	2013-02-05 05:16:07	2013-02-05 05:16:07
91	31	63	2013-02-05 05:16:07	2013-02-05 05:16:07
92	32	64	2013-02-05 05:31:28	2013-02-05 05:31:28
93	33	64	2013-02-05 06:10:27	2013-02-05 06:10:27
94	35	65	2013-02-05 06:36:18	2013-02-05 06:36:18
95	35	61	2013-02-05 06:36:18	2013-02-05 06:36:18
96	36	65	2013-02-05 06:43:14	2013-02-05 06:43:14
97	36	61	2013-02-05 06:43:14	2013-02-05 06:43:14
98	37	66	2013-02-05 06:54:12	2013-02-05 06:54:12
99	38	6	2013-02-05 06:59:19	2013-02-05 06:59:19
100	38	9	2013-02-05 06:59:19	2013-02-05 06:59:19
101	38	66	2013-02-05 06:59:27	2013-02-05 06:59:27
102	38	58	2013-02-05 07:01:31	2013-02-05 07:01:31
103	39	67	2013-02-05 07:06:11	2013-02-05 07:06:11
104	40	68	2013-02-05 07:11:42	2013-02-05 07:11:42
105	41	6	2013-02-05 07:16:43	2013-02-05 07:16:43
106	41	9	2013-02-05 07:16:43	2013-02-05 07:16:43
107	41	61	2013-02-05 07:16:43	2013-02-05 07:16:43
108	42	69	2013-02-05 07:26:13	2013-02-05 07:26:13
109	43	69	2013-02-05 07:29:56	2013-02-05 07:29:56
110	44	28	2013-02-05 07:46:21	2013-02-05 07:46:21
111	44	70	2013-02-05 07:46:21	2013-02-05 07:46:21
112	45	23	2013-02-05 07:54:24	2013-02-05 07:54:24
113	45	71	2013-02-05 07:57:24	2013-02-05 07:57:24
114	48	72	2013-02-05 23:23:09	2013-02-05 23:23:09
115	49	73	2013-02-05 23:34:55	2013-02-05 23:34:55
116	50	74	2013-02-05 23:44:14	2013-02-05 23:44:14
117	51	75	2013-02-06 00:15:24	2013-02-06 00:15:24
118	46	54	2013-02-06 09:10:27	2013-02-06 09:10:27
119	53	76	2013-02-06 23:21:23	2013-02-06 23:21:23
120	54	77	2013-02-06 23:45:34	2013-02-06 23:45:34
121	55	78	2013-02-06 23:59:53	2013-02-06 23:59:53
122	55	79	2013-02-06 23:59:53	2013-02-06 23:59:53
